|              Module |       Util|                 Area|      Sites|      Insts|  Std_Cells 
|--------------------|----------|-----------------|-------|-------|-------
|            sb_0__0_ |  27.72 |  8728.371200 | 6976 |    1 |  100 
|            sb_0__1_ |  51.13 |  9449.062400 | 7552 |   11 |  145 
|           sb_0__12_ |  30.69 |  8728.371200 | 6976 |    1 |   92 
|            sb_1__0_ |  44.98 | 10970.521600 | 8768 |   11 |  143 
|            sb_1__1_ |  67.02 | 11691.212800 | 9344 |  121 |  194 
|           sb_1__12_ |  46.43 | 10970.521600 | 8768 |   11 |  129 
|           sb_12__0_ |  37.76 |  8728.371200 | 6976 |    1 |  103 
|           sb_12__1_ |   58.2 |  9449.062400 | 7552 |   11 |  143 
|          sb_12__12_ |  42.56 |  8728.371200 | 6976 |    1 |  103 
|           cbx_1__0_ |  53.93 |  5765.529600 | 4608 |   12 |  143 
|           cbx_1__1_ |  70.49 |  5765.529600 | 4608 |  132 |  104 
|          cbx_1__12_ |  75.52 |  5765.529600 | 4608 |   12 |  109 
|           cby_0__1_ |  29.64 |  5044.838400 | 4032 |   12 |  104 
|           cby_1__1_ |  77.48 |  5044.838400 | 4032 |  132 |   96 
|          cby_12__1_ |  80.83 |  5044.838400 | 4032 |   12 |   89 
|      grid_clb_1__1_ |  76.01 | 11531.059200 | 9216 |  144 |   55 
