|              Module |       Util|                 Area|      Sites|      Insts|  Std_Cells 
|--------------------|----------|-----------------|-------|-------|-------
|fpga_core_uut/sb_0__0_ |  31.45 |  8728.371200 | 6976 |    1 |  868 
|fpga_core_uut/sb_0__11_ |  47.54 |  9449.062400 | 7552 |   11 |  945 
|fpga_core_uut/sb_0__12_ |  31.62 |  8728.371200 | 6976 |    1 |  865 
|fpga_core_uut/sb_11__0_ |  47.53 | 10970.521600 | 8768 |   11 | 1033 
|fpga_core_uut/sb_11__11_ |   64.3 | 11691.212800 | 9344 |  121 |  999 
|fpga_core_uut/sb_11__12_ |  47.15 | 10970.521600 | 8768 |   11 | 1021 
|fpga_core_uut/sb_12__0_ |  42.63 |  8728.371200 | 6976 |    1 |  827 
|fpga_core_uut/sb_12__11_ |  54.85 |  9449.062400 | 7552 |   11 |  931 
|fpga_core_uut/sb_12__12_ |  43.81 |  8728.371200 | 6976 |    1 |  823 
|fpga_core_uut/cbx_12__0_ |  63.67 |  5765.529600 | 4608 |   12 |  558 
|fpga_core_uut/cbx_12__11_ |  78.43 |  5765.529600 | 4608 |  132 |  372 
|fpga_core_uut/cbx_12__12_ |  77.47 |  5765.529600 | 4608 |   12 |  366 
|fpga_core_uut/cby_0__12_ |  20.51 |  5044.838400 | 4032 |   12 |  556 
|fpga_core_uut/cby_11__12_ |  82.22 |  5044.838400 | 4032 |  132 |  291 
|fpga_core_uut/cby_12__12_ |  83.28 |  5044.838400 | 4032 |   12 |  267 
|fpga_core_uut/grid_clb_12__12_ |  77.94 | 11531.059200 | 9216 |  144 |  597 
