                                Ref Name           Total Area        Utilization_%       Instance Count 
	 ----------------------------------------------------------------------------------------------------
                 sky130_fd_sc_hd__dfxtp_4       1330730.025600              12.95                55977 
                  sky130_fd_sc_hd__mux2_1       1314450.662400              12.79               116728 
                   sky130_fd_sc_hd__buf_8        304882.406400               2.97                20306 
                 sky130_fd_sc_hd__dfxtp_1        237007.308800               2.31                11839 
                   sky130_fd_sc_hd__buf_6        156502.598400               1.52                13898 
           sky130_fd_sc_hd__dlygate4sd3_1         71628.697600               0.70                 7156 
                   sky130_fd_sc_hd__buf_1         71340.921600               0.69                19006 
                sky130_fd_sc_hd__sdfxtp_1         60538.060800               0.59                 2304 
                   sky130_fd_sc_hd__inv_8         44953.113600               0.44                 3992 
               sky130_fd_sc_hd__bufbuf_16         43331.558400               0.42                 1332 
                   sky130_fd_sc_hd__inv_1         40520.112000               0.39                10795 
                  sky130_fd_sc_hd__conb_1         23561.347200               0.23                 6277 
                   sky130_fd_sc_hd__buf_4         10089.676800               0.10                 1344 
                  sky130_fd_sc_hd__mux2_8          7567.257600               0.07                  288 
                   sky130_fd_sc_hd__or2_0          7206.912000               0.07                 1152 
                 sky130_fd_sc_hd__ebufn_4          5758.022400               0.06                  354 
                  sky130_fd_sc_hd__buf_12          5525.299200               0.05                  276 
                   sky130_fd_sc_hd__inv_6          4195.273600               0.04                  479 
                sky130_fd_sc_hd__clkbuf_1          3828.672000               0.04                 1020 
                 sky130_fd_sc_hd__dfxtp_2          3062.937600               0.03                  144 
                sky130_fd_sc_hd__bufbuf_8          2477.376000               0.02                  132 
                   sky130_fd_sc_hd__buf_2          2342.246400               0.02                  468 
                   sky130_fd_sc_hd__inv_2          2207.116800               0.02                  588 
           sky130_fd_sc_hd__dlygate4sd2_1          1366.310400               0.01                  156 
                sky130_fd_sc_hd__nand2b_1           825.792000               0.01                  132 
                   sky130_fd_sc_hd__inv_4           675.648000               0.01                  108 
                  sky130_fd_sc_hd__buf_16           330.316800               0.00                   12 
           sky130_fd_sc_hd__dlygate4sd1_1           324.060800               0.00                   37 
                sky130_fd_sc_hd__clkbuf_8           165.158400               0.00                   12 
                  sky130_fd_sc_hd__or2b_4           135.129600               0.00                   12 
FPGA_BBOX_AREA 5973088.6656
CORE_BBOX_AREA 10276128.1216
FPGA_BBOX_UTIL 58.1258679818
