|              Module |       Util|                 Area|      Sites|      Insts|  Std_Cells 
|--------------------|----------|-----------------|-------|-------|-------
|fpga_core_uut/sb_0__0_ |  45.82 |  8718.361600 | 6968 |    1 | 1003 
|fpga_core_uut/sb_0__11_ |  75.59 |  9519.129600 | 7608 |   11 |  855 
|fpga_core_uut/sb_0__12_ |  45.97 |  8718.361600 | 6968 |    1 | 1006 
|fpga_core_uut/sb_11__0_ |  71.29 | 11030.579200 | 8816 |   11 | 1078 
|fpga_core_uut/sb_11__11_ |  90.88 | 11831.347200 | 9456 |  121 |  533 
|fpga_core_uut/sb_11__12_ |  70.54 | 11030.579200 | 8816 |   11 | 1089 
|fpga_core_uut/sb_12__0_ |  64.08 |  8718.361600 | 6968 |    1 |  955 
|fpga_core_uut/sb_12__11_ |  82.83 |  9519.129600 | 7608 |   11 |  624 
|fpga_core_uut/sb_12__12_ |   65.1 |  8718.361600 | 6968 |    1 |  943 
|fpga_core_uut/cbx_12__0_ |  74.63 |  5745.510400 | 4592 |   12 |  439 
|fpga_core_uut/cbx_12__11_ |  88.39 |  5745.510400 | 4592 |  132 |  382 
|fpga_core_uut/cbx_12__12_ |  90.81 |  5745.510400 | 4592 |   12 |  267 
|fpga_core_uut/cby_0__12_ |  23.46 |  6406.144000 | 5120 |   12 |  815 
|fpga_core_uut/cby_11__12_ |  82.05 |  6406.144000 | 5120 |  132 |  444 
|fpga_core_uut/cby_12__12_ |  82.64 |  6406.144000 | 5120 |   12 |  486 
|fpga_core_uut/grid_clb_12__12_ |  68.26 | 14814.208000 | 11840 |  144 | 1370 
