|              Module |       Util|                 Area|      Sites|      Insts|  Std_Cells 
|--------------------|----------|-----------------|-------|-------|-------
|fpga_core_uut/sb_0__0_ |  35.18 | 12842.316800 | 10264 |    1 | 1306 
|fpga_core_uut/sb_0__11_ |  77.56 | 13242.700800 | 10584 |   11 | 1202 
|fpga_core_uut/sb_0__12_ |  34.99 | 12842.316800 | 10264 |    1 | 1326 
|fpga_core_uut/sb_11__0_ |  66.46 | 16475.801600 | 13168 |   11 | 1731 
|fpga_core_uut/sb_11__11_ |  88.55 | 16876.185600 | 13488 |  121 |  933 
|fpga_core_uut/sb_11__12_ |  66.93 | 16475.801600 | 13168 |   11 | 1693 
|fpga_core_uut/sb_12__0_ |  52.87 | 12842.316800 | 10264 |    1 | 1374 
|fpga_core_uut/sb_12__11_ |  84.18 | 13242.700800 | 10584 |   11 |  835 
|fpga_core_uut/sb_12__12_ |  52.84 | 12842.316800 | 10264 |    1 | 1323 
|fpga_core_uut/cbx_12__0_ |  57.41 |  9028.659200 | 7216 |   12 | 1027 
|fpga_core_uut/cbx_12__11_ |  76.62 |  9028.659200 | 7216 |  132 |  852 
|fpga_core_uut/cbx_12__12_ |  76.69 |  9028.659200 | 7216 |   12 |  882 
|fpga_core_uut/cby_0__12_ |   20.6 |  8808.448000 | 7040 |   12 |  961 
|fpga_core_uut/cby_11__12_ |  77.71 |  8808.448000 | 7040 |  132 |  742 
|fpga_core_uut/cby_12__12_ |  77.23 |  8808.448000 | 7040 |   12 |  766 
|fpga_core_uut/grid_clb_12__12_ |  65.12 | 17777.049600 | 14208 |  144 | 1556 
