|              Module |       Util|                 Area|      Sites|      Insts|  Std_Cells 
|--------------------|----------|-----------------|-------|-------|-------
|fpga_core_uut/sb_0__0_ |  31.64 |  8728.371200 | 6976 |    1 | 1059 
|fpga_core_uut/sb_0__11_ |  47.66 |  9449.062400 | 7552 |   11 | 1157 
|fpga_core_uut/sb_0__12_ |  31.42 |  8728.371200 | 6976 |    1 | 1044 
|fpga_core_uut/sb_11__0_ |  47.66 | 10970.521600 | 8768 |   11 | 1212 
|fpga_core_uut/sb_11__11_ |  64.33 | 11691.212800 | 9344 |  121 | 1170 
|fpga_core_uut/sb_11__12_ |  47.16 | 10970.521600 | 8768 |   11 | 1241 
|fpga_core_uut/sb_12__0_ |  42.82 |  8728.371200 | 6976 |    1 | 1038 
|fpga_core_uut/sb_12__11_ |  54.48 |  9449.062400 | 7552 |   11 | 1156 
|fpga_core_uut/sb_12__12_ |  43.74 |  8728.371200 | 6976 |    1 | 1042 
|fpga_core_uut/cbx_12__0_ |  64.32 |  5765.529600 | 4608 |   12 |  610 
|fpga_core_uut/cbx_12__11_ |  77.45 |  5765.529600 | 4608 |  132 |  481 
|fpga_core_uut/cbx_12__12_ |  77.65 |  5765.529600 | 4608 |   12 |  456 
|fpga_core_uut/cby_0__12_ |  21.25 |  5044.838400 | 4032 |   12 |  671 
|fpga_core_uut/cby_11__12_ |  83.95 |  5044.838400 | 4032 |  132 |  385 
|fpga_core_uut/cby_12__12_ |  86.76 |  5044.838400 | 4032 |   12 |  279 
|fpga_core_uut/grid_clb_12__12_ |  78.04 | 11531.059200 | 9216 |  144 |  819 
