|              Module |       Util|                 Area|      Sites|      Insts|  Std_Cells 
|--------------------|----------|-----------------|-------|-------|-------
|            sb_0__0_ |  37.06 |  6606.336000 | 5280 |    1 |   85 
|            sb_0__1_ |  61.64 |  7687.372800 | 6144 |    1 |  116 
|            sb_0__2_ |  42.08 |  6606.336000 | 5280 |    1 |   85 
|            sb_1__0_ |  64.92 |  7807.488000 | 6240 |    1 |  125 
|            sb_1__1_ |  81.63 |  8888.524800 | 7104 |    1 |  117 
|            sb_1__2_ |  69.36 |  7807.488000 | 6240 |    1 |  136 
|            sb_2__0_ |  50.93 |  6606.336000 | 5280 |    1 |   94 
|            sb_2__1_ |  73.86 |  7687.372800 | 6144 |    1 |  123 
|            sb_2__2_ |  58.11 |  6606.336000 | 5280 |    1 |   95 
|           cbx_1__0_ |  60.07 |  5044.838400 | 4032 |    2 |  130 
|           cbx_1__1_ |  79.61 |  5044.838400 | 4032 |    2 |   86 
|           cbx_1__2_ |  81.82 |  5044.838400 | 4032 |    2 |   82 
|           cby_0__1_ |  30.11 |  5044.838400 | 4032 |    2 |  109 
|           cby_1__1_ |  80.46 |  5044.838400 | 4032 |    2 |   88 
|           cby_2__1_ |  67.51 |  5044.838400 | 4032 |    2 |   38 
|      grid_clb_1__1_ |  75.03 | 12411.904000 | 9920 |    4 |   56 
