orientation,row,col,pin_num_in_cell,port_name,mapped_pin,GPIO_type,Associated Clock,Clock Edge
TOP,,,,gfpga_pad_io_soc_in[0],gfpga_pad_io_soc_in[0],in,,
TOP,,,,gfpga_pad_io_soc_in[1],gfpga_pad_io_soc_in[1],in,,
TOP,,,,gfpga_pad_io_soc_in[2],gfpga_pad_io_soc_in[2],in,,
TOP,,,,gfpga_pad_io_soc_in[3],gfpga_pad_io_soc_in[3],in,,
TOP,,,,gfpga_pad_io_soc_in[4],gfpga_pad_io_soc_in[4],in,,
TOP,,,,gfpga_pad_io_soc_in[5],gfpga_pad_io_soc_in[5],in,,
TOP,,,,gfpga_pad_io_soc_in[6],gfpga_pad_io_soc_in[6],in,,
TOP,,,,gfpga_pad_io_soc_in[7],gfpga_pad_io_soc_in[7],in,,
TOP,,,,gfpga_pad_io_soc_in[8],gfpga_pad_io_soc_in[8],in,,
TOP,,,,gfpga_pad_io_soc_in[9],gfpga_pad_io_soc_in[9],in,,
TOP,,,,gfpga_pad_io_soc_in[10],gfpga_pad_io_soc_in[10],in,,
TOP,,,,gfpga_pad_io_soc_in[11],gfpga_pad_io_soc_in[11],in,,
TOP,,,,gfpga_pad_io_soc_in[12],gfpga_pad_io_soc_in[12],in,,
TOP,,,,gfpga_pad_io_soc_in[13],gfpga_pad_io_soc_in[13],in,,
TOP,,,,gfpga_pad_io_soc_in[14],gfpga_pad_io_soc_in[14],in,,
TOP,,,,gfpga_pad_io_soc_in[15],gfpga_pad_io_soc_in[15],in,,
TOP,,,,gfpga_pad_io_soc_in[16],gfpga_pad_io_soc_in[16],in,,
TOP,,,,gfpga_pad_io_soc_in[17],gfpga_pad_io_soc_in[17],in,,
TOP,,,,gfpga_pad_io_soc_in[18],gfpga_pad_io_soc_in[18],in,,
TOP,,,,gfpga_pad_io_soc_in[19],gfpga_pad_io_soc_in[19],in,,
TOP,,,,gfpga_pad_io_soc_in[20],gfpga_pad_io_soc_in[20],in,,
TOP,,,,gfpga_pad_io_soc_in[21],gfpga_pad_io_soc_in[21],in,,
TOP,,,,gfpga_pad_io_soc_in[22],gfpga_pad_io_soc_in[22],in,,
TOP,,,,gfpga_pad_io_soc_in[23],gfpga_pad_io_soc_in[23],in,,
TOP,,,,gfpga_pad_io_soc_in[24],gfpga_pad_io_soc_in[24],in,,
TOP,,,,gfpga_pad_io_soc_in[25],gfpga_pad_io_soc_in[25],in,,
TOP,,,,gfpga_pad_io_soc_in[26],gfpga_pad_io_soc_in[26],in,,
TOP,,,,gfpga_pad_io_soc_in[27],gfpga_pad_io_soc_in[27],in,,
TOP,,,,gfpga_pad_io_soc_in[28],gfpga_pad_io_soc_in[28],in,,
TOP,,,,gfpga_pad_io_soc_in[29],gfpga_pad_io_soc_in[29],in,,
TOP,,,,gfpga_pad_io_soc_in[30],gfpga_pad_io_soc_in[30],in,,
TOP,,,,gfpga_pad_io_soc_in[31],gfpga_pad_io_soc_in[31],in,,
RIGHT,,,,gfpga_pad_io_soc_in[32],gfpga_pad_io_soc_in[32],in,,
RIGHT,,,,gfpga_pad_io_soc_in[33],gfpga_pad_io_soc_in[33],in,,
RIGHT,,,,gfpga_pad_io_soc_in[34],gfpga_pad_io_soc_in[34],in,,
RIGHT,,,,gfpga_pad_io_soc_in[35],gfpga_pad_io_soc_in[35],in,,
RIGHT,,,,gfpga_pad_io_soc_in[36],gfpga_pad_io_soc_in[36],in,,
RIGHT,,,,gfpga_pad_io_soc_in[37],gfpga_pad_io_soc_in[37],in,,
RIGHT,,,,gfpga_pad_io_soc_in[38],gfpga_pad_io_soc_in[38],in,,
RIGHT,,,,gfpga_pad_io_soc_in[39],gfpga_pad_io_soc_in[39],in,,
RIGHT,,,,gfpga_pad_io_soc_in[40],gfpga_pad_io_soc_in[40],in,,
RIGHT,,,,gfpga_pad_io_soc_in[41],gfpga_pad_io_soc_in[41],in,,
RIGHT,,,,gfpga_pad_io_soc_in[42],gfpga_pad_io_soc_in[42],in,,
RIGHT,,,,gfpga_pad_io_soc_in[43],gfpga_pad_io_soc_in[43],in,,
RIGHT,,,,gfpga_pad_io_soc_in[44],gfpga_pad_io_soc_in[44],in,,
RIGHT,,,,gfpga_pad_io_soc_in[45],gfpga_pad_io_soc_in[45],in,,
RIGHT,,,,gfpga_pad_io_soc_in[46],gfpga_pad_io_soc_in[46],in,,
RIGHT,,,,gfpga_pad_io_soc_in[47],gfpga_pad_io_soc_in[47],in,,
RIGHT,,,,gfpga_pad_io_soc_in[48],gfpga_pad_io_soc_in[48],in,,
RIGHT,,,,gfpga_pad_io_soc_in[49],gfpga_pad_io_soc_in[49],in,,
RIGHT,,,,gfpga_pad_io_soc_in[50],gfpga_pad_io_soc_in[50],in,,
RIGHT,,,,gfpga_pad_io_soc_in[51],gfpga_pad_io_soc_in[51],in,,
RIGHT,,,,gfpga_pad_io_soc_in[52],gfpga_pad_io_soc_in[52],in,,
RIGHT,,,,gfpga_pad_io_soc_in[53],gfpga_pad_io_soc_in[53],in,,
RIGHT,,,,gfpga_pad_io_soc_in[54],gfpga_pad_io_soc_in[54],in,,
RIGHT,,,,gfpga_pad_io_soc_in[55],gfpga_pad_io_soc_in[55],in,,
RIGHT,,,,gfpga_pad_io_soc_in[56],gfpga_pad_io_soc_in[56],in,,
RIGHT,,,,gfpga_pad_io_soc_in[57],gfpga_pad_io_soc_in[57],in,,
RIGHT,,,,gfpga_pad_io_soc_in[58],gfpga_pad_io_soc_in[58],in,,
RIGHT,,,,gfpga_pad_io_soc_in[59],gfpga_pad_io_soc_in[59],in,,
RIGHT,,,,gfpga_pad_io_soc_in[60],gfpga_pad_io_soc_in[60],in,,
RIGHT,,,,gfpga_pad_io_soc_in[61],gfpga_pad_io_soc_in[61],in,,
RIGHT,,,,gfpga_pad_io_soc_in[62],gfpga_pad_io_soc_in[62],in,,
RIGHT,,,,gfpga_pad_io_soc_in[63],gfpga_pad_io_soc_in[63],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[64],gfpga_pad_io_soc_in[64],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[65],gfpga_pad_io_soc_in[65],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[66],gfpga_pad_io_soc_in[66],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[67],gfpga_pad_io_soc_in[67],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[68],gfpga_pad_io_soc_in[68],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[69],gfpga_pad_io_soc_in[69],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[70],gfpga_pad_io_soc_in[70],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[71],gfpga_pad_io_soc_in[71],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[72],gfpga_pad_io_soc_in[72],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[73],gfpga_pad_io_soc_in[73],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[74],gfpga_pad_io_soc_in[74],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[75],gfpga_pad_io_soc_in[75],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[76],gfpga_pad_io_soc_in[76],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[77],gfpga_pad_io_soc_in[77],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[78],gfpga_pad_io_soc_in[78],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[79],gfpga_pad_io_soc_in[79],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[80],gfpga_pad_io_soc_in[80],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[81],gfpga_pad_io_soc_in[81],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[82],gfpga_pad_io_soc_in[82],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[83],gfpga_pad_io_soc_in[83],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[84],gfpga_pad_io_soc_in[84],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[85],gfpga_pad_io_soc_in[85],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[86],gfpga_pad_io_soc_in[86],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[87],gfpga_pad_io_soc_in[87],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[88],gfpga_pad_io_soc_in[88],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[89],gfpga_pad_io_soc_in[89],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[90],gfpga_pad_io_soc_in[90],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[91],gfpga_pad_io_soc_in[91],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[92],gfpga_pad_io_soc_in[92],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[93],gfpga_pad_io_soc_in[93],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[94],gfpga_pad_io_soc_in[94],in,,
BOTTOM,,,,gfpga_pad_io_soc_in[95],gfpga_pad_io_soc_in[95],in,,
LEFT,,,,gfpga_pad_io_soc_in[96],gfpga_pad_io_soc_in[96],in,,
LEFT,,,,gfpga_pad_io_soc_in[97],gfpga_pad_io_soc_in[97],in,,
LEFT,,,,gfpga_pad_io_soc_in[98],gfpga_pad_io_soc_in[98],in,,
LEFT,,,,gfpga_pad_io_soc_in[99],gfpga_pad_io_soc_in[99],in,,
LEFT,,,,gfpga_pad_io_soc_in[100],gfpga_pad_io_soc_in[100],in,,
LEFT,,,,gfpga_pad_io_soc_in[101],gfpga_pad_io_soc_in[101],in,,
LEFT,,,,gfpga_pad_io_soc_in[102],gfpga_pad_io_soc_in[102],in,,
LEFT,,,,gfpga_pad_io_soc_in[103],gfpga_pad_io_soc_in[103],in,,
LEFT,,,,gfpga_pad_io_soc_in[104],gfpga_pad_io_soc_in[104],in,,
LEFT,,,,gfpga_pad_io_soc_in[105],gfpga_pad_io_soc_in[105],in,,
LEFT,,,,gfpga_pad_io_soc_in[106],gfpga_pad_io_soc_in[106],in,,
LEFT,,,,gfpga_pad_io_soc_in[107],gfpga_pad_io_soc_in[107],in,,
LEFT,,,,gfpga_pad_io_soc_in[108],gfpga_pad_io_soc_in[108],in,,
LEFT,,,,gfpga_pad_io_soc_in[109],gfpga_pad_io_soc_in[109],in,,
LEFT,,,,gfpga_pad_io_soc_in[110],gfpga_pad_io_soc_in[110],in,,
LEFT,,,,gfpga_pad_io_soc_in[111],gfpga_pad_io_soc_in[111],in,,
LEFT,,,,gfpga_pad_io_soc_in[112],gfpga_pad_io_soc_in[112],in,,
LEFT,,,,gfpga_pad_io_soc_in[113],gfpga_pad_io_soc_in[113],in,,
LEFT,,,,gfpga_pad_io_soc_in[114],gfpga_pad_io_soc_in[114],in,,
LEFT,,,,gfpga_pad_io_soc_in[115],gfpga_pad_io_soc_in[115],in,,
LEFT,,,,gfpga_pad_io_soc_in[116],gfpga_pad_io_soc_in[116],in,,
LEFT,,,,gfpga_pad_io_soc_in[117],gfpga_pad_io_soc_in[117],in,,
LEFT,,,,gfpga_pad_io_soc_in[118],gfpga_pad_io_soc_in[118],in,,
LEFT,,,,gfpga_pad_io_soc_in[119],gfpga_pad_io_soc_in[119],in,,
LEFT,,,,gfpga_pad_io_soc_in[120],gfpga_pad_io_soc_in[120],in,,
